"Date","Leaders","Place","Participating Officials","Officials Rank","Description","Resources"
"1985/04/19 - 1985/04/24","Deng Xiaoping/Kim Il-sung","North Korea","Qian Liren (钱李仁) and Kim Il-sung (金日成)","Head of International Liaison Department of the Communist Party of China (中共中央对外联络部部长) and President (朝鲜民主主义人民共和國主席)","Goodwill Visit","http://www.ziliaoku.org/rmrb/1985-04-21-6#689930"
"1985/05/04 - 1985/05/06","Deng Xiaoping/Kim Il-sung","North Korea","Hu Yaobang 胡耀邦 and Kim Il-sung (金日成)","General Secretary of Communist Party of China (中国共产党中央委员会总书记) and General Secretary of Workers' Party of Korea (朝鲜劳动党中央委员会总书记)","State Visit: Unofficial visit","http://phtv.ifeng.com/hotspot/zhongchao60nian/200911/1106_8594_1424373.shtml"
"1986/10/03 - 1986/10/06","Deng Xiaoping/Kim Il-sung","North Korea","Li Xiannian (李先念) and Kim Il-sung (金日成)","President (中华人民共和国主席) and President (朝鲜民主主义人民共和國主席)","State Visit: Friendly visit","http://www.ziliaoku.org/rmrb/1986-10-04-1#740371"
"1987/03/09 - 1987/03/10","Deng Xiaoping/Kim Il-sung","North Korea","Zhu Liang (朱良) and Kim Il-sung (金日成)","Head of International Liaison Department of the Communist Party of China (中共中央对外联络部部长) and President (朝鲜民主主义人民共和國主席)","Goodwill Visit","http://www.ziliaoku.org/rmrb/1987-03-11-6#755796"
"1987/05/21 - 1987/05/25","Deng Xiaoping/Kim Il-sung","China","Kim Il-sung (金日成) and Li Xiannian (李先念)","President (朝鲜民主主义人民共和國主席) and President (中华人民共和国主席)","Summit Meeting: Official friendly visit","http://www.ziliaoku.org/rmrb/1987-05-21-4#762552"
"1987/10/06","Deng Xiaoping/Kim Il-sung","China","Yang Hyong-sop (杨亨燮) and Zhao Ziyang (赵紫阳)","Chairman of the Standing Committee of the Supreme People's Assembly (朝鲜最高人民会议议长) and Acting General Secretary of Communist Party of China (中共中央代理总书记)","Goodwill Visit: Supreme People's Assembly delegation","http://www.ziliaoku.org/rmrb/1987-10-07-1#775127"
"1987/11/09 - 1987/11/14","Deng Xiaoping/Kim Il-sung","China","Ri Kun-mo (李根模) and Zhao Ziyang (赵紫阳)","Premier (朝鲜民主主义人民共和国政务院总理) and Premier (中华人民共和国国务院总理)","State Visit: Official friendly visit","http://www.ziliaoku.org/rmrb/1987-11-10-1#778019"
"1987/11/28","Deng Xiaoping/Kim Il-sung","North Korea","Song Jian (宋健) and Park Song-chol (朴成哲)","State Councilor and Director of National Commission on Science and Technology (国务委员兼国家科委主任) and Vice President (朝鲜国家副主席)","Goodwill Visit: Technology delegation","http://www.ziliaoku.org/rmrb/1987-12-02-6#780049"
"1988/05/14","Deng Xiaoping/Kim Il-sung","China","Kim Bok-sin (金福信) and Zhao Ziyang (赵紫阳)","Member of Politburo of Workers' Party of Korea (朝鲜劳动党中央政治局候补委员) and General Secretary of Communist Party of China (中国共产党中央委员会总书记)","Goodwill Visit: Workers' Party of Korea and government delegation","http://www.ziliaoku.org/rmrb/1988-05-14-1#795126"
"1988/09/07 - 1988/09/11","Deng Xiaoping/Kim Il-sung","North Korea","Yang Shangkun (杨尚昆) and Kim Il-sung (金日成)","President (中华人民共和国主席) and President (朝鲜民主主义人民共和國主席)","State Visit: 40th anniversary of the founding of the Democratic People's Republic of Korea","http://www.ziliaoku.org/rmrb/1988-09-11-1#806801"
